name,tamano,tiempo,tamano,tiempo,tamano,tiempo,tipo,tipoProblema
371abeaumont, 6000, 10979.2, 12000, 9296.88, 18000, 10963.5, 0, 0
371DanielVallejo, 6000, 9432.29, 12000, 10161.5, 18000, 9666.67, 0, 0
371david-perez, 6000, 8833.33, 12000, 9604.17, 18000, 8135.42, 0, 0
376abeaumont, 300, 1578.12, 600, 3130.21, 900, 4411.46, 2, 2
376DanielVallejo, 300, 317.708, 600, 625, 900, 921.875, 2, 2
376david-perez, 300, 1541.67, 600, 3020.83, 900, 4484.38, 2, 2
376eduherminio, 300, 1536.46, 600, 3046.88, 900, 4515.62, 2, 2
376nwolyniec, 300, 322.917, 600, 640.625, 900, 937.5, 2, 2
369abeaumont, 300, 307.292, 600, 572.917, 900, 828.125, 2, 2
369david-perez, 300, 234.375, 600, 421.875, 900, 567.708, 2, 2
369eduherminio, 300, 239.583, 600, 406.25, 900, 562.5, 2, 2
368abeaumont, 3000, 1833.33, 6000, 2041.67, 9000, 1734.38, 0, 0
368DanielVallejo, 3000, 2020.83, 6000, 1864.58, 9000, 2036.46, 0, 0
368david-perez, 3000, 1723.96, 6000, 1869.79, 9000, 1734.38, 0, 0
368eduherminio, 3000, 1864.58, 6000, 1739.58, 9000, 1885.42, 0, 0
368hnko, 3000, 1776.04, 6000, 2041.67, 9000, 1885.42, 0, 0
368hnko, 3000, 2036.46, 6000, 1750, 9000, 1989.58, 0, 0
151DanielVallejo, 15, 166.667, 30, 458.333, 45, 958.333, 4, 4
151david-perez, 15, 437.5, 30, 1739.58, 45, 3640.62, 4, 4
151hnko, 15, 593.75, 30, 2260.42, 45, 5036.46, 4, 4
140MiYazJE_Java, 3, 4631.25, 6, 7010.94, 9, 9370.31, 2, 2
140caiomed03_SumaDigitos_Java, 3, 5221.88, 6, 7492.19, 9, 9948.44, 2, 2
140MiYazJE_JAVA, 3, 4617.19, 6, 7009.38, 9, 9401.56, 2, 2
140caiomed03_SumaDigitos_JAVA, 3, 5151.56, 6, 7515.62, 9, 9862.5, 2, 2
151IvanPerez9_JAVA, 15, 1201.17, 30, 2490.23, 45, 4486.33, 4, 4
151MiYazJE_JAVA, 15, 1138.67, 30, 2468.75, 45, 4451.17, 4, 4
368MiYazJE_huevos_JAVA, 3000, 25257.8, 6000, 25193.4, 9000, 25261.7, 0, 0
369IvanPerez9_arena_JAVA, 300, 2703.12, 600, 5003.91, 900, 7380.86, 2, 2
369MiYazJE_arena_JAVA, 300, 2707.03, 600, 5031.25, 900, 7386.72, 2, 2
371caiomed03_sobremesa_JAVA, 6000, 494.141, 12000, 484.375, 18000, 486.328, 0, 0
371MiYazJE_sobremesa_JAVA, 6000, 498.047, 12000, 500, 18000, 525.391, 0, 0
376caiomed03_7picos_JAVA, 300, 2222.66, 600, 3525.39, 900, 4650.39, 2, 2
376MiYazJE_7picos_JAVA, 300, 2232.42, 600, 3496.09, 900, 4642.58, 2, 2
151caiomed03_JAVA, 15, 3970.7, 30, 7273.44, 45, 11984.4, 4, 4
140DanielVallejo, 3, 5588.54, 6, 6151.04, 9, 4973.96, 2, 2
140david-perez, 3, 5786.46, 6, 8359.38, 9, 10859.4, 2, 2
140eduherminio, 3, 6312.5, 6, 9140.62, 9, 11854.2, 2, 2
140hnko, 3, 5572.92, 6, 5947.92, 9, 4885.42, 2, 2
140Orgalorexe, 3, 5244.79, 6, 5781.25, 9, 5718.75, 2, 2